ID,SPECIES,hw,hl,ml,el1,el2,wl
CASENT0104159,Ochetellus glaber,0.496,0.561,0.198,0.146,0.161,0.798
CASENT0173321,Ochetellus glaber,0.6,0.668,0.276,0.164,0.144,0.753
CASENT0178874,Ochetellus glaber,0.597,0.661,0.255,0.161,0.148,0.702
CASENT0104172,Odontomachus relictus,1.615,1.996,1.005,0.335,0.356,2.463
CASENT0173658,Pheidole bilimeki,0.415,0.472,0.241,0.089,0.087,0.591
CASENT0173659,Pheidole bilimeki,0.9,0.92,0.465,0.121,0.126,0.807
CASENT0246095,Pheidole bilimeki,0.933,0.973,0.437,0.136,0.153,0.854
CASENT0649570,Pheidole bilimeki,0.458,0.505,0.25,0.09,0.094,0.558
CASENT0649571,Pheidole bilimeki,0.684,0.71,0.388,0.12,0.121,0.692
CASENT0908279,Pheidole bilimeki,0.459,0.495,0.268,0.092,0.096,0.614
CASENT0104291,Pheidole crassicornis,1.177,1.192,0.574,,0.192,1.281
CASENT0104292,Pheidole crassicornis,0.68,0.744,0.373,,0.136,0.94
CASENT0904432,Pheidole crassicornis,1.41,1.36,0.722,0.205,0.197,1.255
CASENT0904433,Pheidole crassicornis,0.58,0.658,0.374,0.136,0.184,1.07
CASENT0103143,Pheidole davisi,1,0.964,0.439,,0.139,0.86
CASENT0103407,Pheidole davisi,0.484,0.509,0.274,0.121,0.107,0.527
CASENT0104757,Pheidole davisi,0.92,0.892,0.403,0.119,0.144,0.799
CASENT0005742,Pheidole navigans,0.896,0.944,0.449,0.141,0.14,0.731
CASENT0005743,Pheidole navigans,0.433,0.48,0.247,0.094,0.128,0.657
CASENT0104525,Pheidole navigans,0.893,0.905,0.433,0.122,0.138,0.701
CASENT0104526,Pheidole navigans,0.452,0.494,0.252,,0.079,0.539
CASENT0005762,Pheidole pilifera,0.484,0.563,0.309,0.124,0.149,0.684
CASENT0102866,Pheidole pilifera,1.237,1.333,0.566,0.189,0.205,1.133
CASENT0102867,Pheidole pilifera,0.528,0.582,0.347,0.136,0.121,0.721
CASENT0103147,Pheidole pilifera,0.576,0.624,0.394,0.149,0.153,0.804
CASENT0103148,Pheidole pilifera,1.331,1.38,0.517,0.176,0.189,1.178
CASENT0172958,Pheidole pilifera,1.199,1.126,0.573,0.18,0.178,0.98
CASENT0281037,Polyergus lucidus,1.627,1.703,0.884,0.43,0.451,2.615
CASENT0281039,Polyergus lucidus,1.497,1.655,0.83,0.43,0.414,2.617
CASENT0281040,Polyergus lucidus,1.396,1.484,0.824,0.426,0.438,2.315
CASENT0281042,Polyergus lucidus,1.368,1.519,0.778,0.399,0.378,2.433
CASENT0281066,Polyergus lucidus,1.503,1.572,0.833,0.414,0.44,2.583
CASENT0006087,Poneracantha triangularis,1.213,1.234,0.729,0.226,0.271,1.949
CASENT0103948,Poneracantha triangularis,1.03,1.06,0.654,0.234,0.28,1.87
CASENT0179951,Poneracantha triangularis,1.198,1.171,0.877,0.298,0.293,1.987
CASENT0281234,Poneracantha triangularis,1.236,1.257,0.864,0.313,0.344,2.061
LACMENT141836,Poneracantha triangularis,1.714,1.709,1.21,0.339,0.223,1.952
CASENT0104439,Proceratium creek,0.902,1.144,0.617,0.055,0.032,1.727
CASENT0105837,Proceratium creek,0.965,1.144,0.596,0.052,,2.018
CASENT0104494,Solenopsis abdita,0.291,0.392,0.176,0.038,,0.435
CASENT0217364,Solenopsis abdita,0.238,0.319,,,0.031,0.399
CASENT0249866,Solenopsis abdita,0.294,0.378,0.162,0.033,0.032,0.399
FMNHINS0000078522,Solenopsis abdita,0.301,0.396,0.148,,0.034,0.398
CASENT0005805,Solenopsis molesta,0.389,0.477,0.196,,0.038,0.527
CASENT0005809,Solenopsis molesta,0.375,0.457,0.215,0.041,0.039,0.504
CASENT0005936,Solenopsis molesta,0.356,0.453,0.202,,0.042,0.468
CASENT0106027,Solenopsis molesta,0.412,0.51,0.241,0.048,0.038,0.561
CASENT0882124,Solenopsis molesta,0.407,0.45,0.246,,0.037,0.542
CASENT0103101,Solenopsis richteri,1.187,1.288,0.634,0.181,0.187,1.62
CASENT0171080,Solenopsis richteri,0.734,0.854,0.435,0.17,0.167,1.209
CASENT0171123,Solenopsis richteri,1.441,1.369,0.745,0.239,0.266,1.816
CASENT0908801,Solenopsis richteri,1.302,1.363,0.705,0.218,0.198,1.452
CASENT0908802,Solenopsis richteri,1.181,1.205,0.653,0.222,0.176,1.414
CASENT0104813,Solenopsis texana,0.345,0.432,0.197,0.04,0.034,0.429
CASENT0904625,Solenopsis texana,0.324,0.399,0.181,,,0.438
CASENT0908855,Solenopsis texana,0.58,0.641,0.385,0.121,0.102,0.757
CASENT0104512,Solenopsis tonsa,0.329,0.393,0.208,,0.022,0.505
CASENT0923591,Solenopsis tonsa,0.322,0.402,0.19,,0.023,0.488
CASENT0005806,Solenopsis xyloni,1.152,1.215,0.595,0.195,0.219,1.467
CASENT0102900,Solenopsis xyloni,1.072,1.129,0.52,0.19,0.2,1.297
CASENT0103388,Solenopsis xyloni,0.613,0.72,0.386,0.151,0.153,1.044
CASENT0104539,Solenopsis xyloni,0.593,0.667,0.338,0.125,0.117,0.859
CASENT0106041,Solenopsis xyloni,1.179,1.205,0.615,0.229,0.215,1.499
CASENT0646942,Solenopsis xyloni,0.86,0.982,0.481,0.19,,1.19
CASENT0104792,Stenamma brevicorne,0.772,0.899,0.466,,,1.163
CASENT0900948,Stenamma brevicorne,0.757,0.894,0.485,0.146,0.12,1.269
CASENT0923375,Stenamma brevicorne,0.657,0.768,0.398,0.122,,0.98
CASENT0005811,Stenamma diecki,0.712,0.842,0.411,0.082,0.088,1.001
CASENT0761109,Stenamma diecki,0.793,0.909,0.389,0.099,0.119,1.17
CASENT0844140,Stenamma diecki,0.686,0.839,0.364,0.072,0.086,1.007
CASENT0904153,Stenamma diecki,0.627,0.773,0.385,,0.089,1.069
CASENT0103126,Strumigenys hyalina,0.403,0.533,0.119,,,0.57
CASENT0900166,Strumigenys hyalina,0.37,0.472,0.117,,0.038,0.55
CASENT0105662,Strumigenys rohweri,0.375,0.5,0.134,,0.045,0.591
CASENT0900172,Strumigenys rohweri,0.373,0.573,0.14,,,0.672
CASENT0103123,Strumigenys talpa,0.408,0.571,0.136,,,0.59
CASENT0103172,Strumigenys talpa,0.343,0.497,0.113,,0.038,0.485
CASENT0104490,Strumigenys talpa,0.364,0.539,0.133,,0.038,0.537
CASENT0900171,Strumigenys talpa,0.331,0.478,0.117,,,0.554
CASENT0904581,Syllophopsis subcoeca,0.316,0.374,0.187,0.025,0.02,0.4
CASENT0923382,Syllophopsis subcoeca,0.268,0.323,0.153,0.017,0.017,0.385
CASENT0923383,Syllophopsis subcoeca,0.253,0.323,0.142,0.016,0.018,0.355
ANTWEB1008479,Temnothorax duloticus,0.578,0.664,0.303,0.161,0.156,0.872
CASENT0103163,Temnothorax duloticus,0.466,0.578,0.227,0.136,0.149,0.828
CASENT0105626,Temnothorax duloticus,0.623,0.702,0.293,0.169,0.166,0.861
CASENT0105559,Temnothorax longispinosus,0.564,0.626,0.293,0.133,0.127,0.725
CASENT0914508,Temnothorax longispinosus,0.512,0.584,0.271,0.135,0.272,1.462
CASENT0105621,Temnothorax minutissimus,0.567,0.68,0.288,0.166,,0.744
CASENT0105628,Temnothorax tuscaloosae,0.455,0.524,0.231,0.13,0.099,0.623
CASENT0172600,Temnothorax tuscaloosae,0.451,0.543,0.25,0.128,,0.617
CASENT0005827,Tetramorium immigrans,0.516,0.553,0.264,0.104,0.18,1.205
CASENT0106026,Tetramorium immigrans,0.913,0.952,0.515,0.183,0.192,1.261
CASENT0913997,Tetramorium immigrans,0.774,0.86,0.458,0.169,0.193,1.158
CASENT0103102,Tetramorium tsushimae,0.613,0.696,0.388,0.134,0.146,0.866
CASENT0901253,Tetramorium tsushimae,0.786,0.838,0.419,0.183,0.164,1.004
CASENT0904809,Tetramorium tsushimae,0.654,0.693,0.369,0.14,0.125,0.843
CASENT0915089,Tetramorium tsushimae,0.766,0.836,0.48,0.166,0.15,1.08
CASENT0915090,Tetramorium tsushimae,0.741,0.775,0.383,0.148,,1.077
CASENT0073621,Trichomyrmex destructor,0.47,0.537,,0.083,,0.654
CASENT0104076,Trichomyrmex destructor,0.435,0.525,0.234,0.09,0.097,0.722
CASENT0125190,Trichomyrmex destructor,0.464,0.59,0.253,0.093,0.084,0.654
CASENT0171070,Trichomyrmex destructor,0.596,0.655,0.316,0.098,0.106,0.77
CASENT0246070,Trichomyrmex destructor,0.536,0.622,0.242,0.097,0.103,0.736
