SPECIES,bins,size,Source
Proceratium pergandei,,28,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Proceratium pergandei,,25,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Proceratium silaceum,,28,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pseudomyrmex ejectus,,80,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pseudomyrmex gracilis,,80,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pseudomyrmex pallidus,,30,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pseudomyrmex seminole,,,
Solenopsis carolinensis,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis geminata,,28000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis globularia,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis invicta,,100000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
