Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Myrmicinae,Myrmecina,Myrmecina.americana,worker,24,Burchill,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Myrmecina,Myrmecina.americana,worker,50,King,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Myrmecina,Myrmecina.sp.nov.,worker,,,,,,,Monomorphic,
Myrmicinae,Myrmica,Myrmica.punctiventris,worker,13,Burchill,,Leaf Litter,Omnivore,Native,Monomorphic,
Myrmicinae,Myrmica,Myrmica.punctiventris,worker,86,Burchill,,Leaf Litter,Omnivore,Native,Monomorphic,
Myrmicinae,Myrmica,Myrmica.punctiventris,worker,50,Deyrup,,Leaf Litter,Omnivore,Native,Monomorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.carolinensis,worker,110000,Burchill,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.carolinensis,worker,30000,King,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.nigrescens,worker,10000,Deyrup,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.nigrescens,worker,30000,Burchill,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.nigrescens,worker,110000,Burchill,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.opacithorax,worker,30000,King,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.pilosus,worker,,,,Ground,Predator,Native,Polymorphic,
Ecitoninae,Neivamyrmex,Neivamyrmex.texanus,worker,30000,King,,Ground,Predator,Native,Polymorphic,
Formicinae,Nylanderia,Nylanderia.arenivaga,worker,100,King,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.bourbonica,worker,200,pers comm j williams,100-300,Ground,Omnivore,Nonnative,Monomorphic,
Formicinae,Nylanderia,Nylanderia.concinna,worker,100,King,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.faisonensis,worker,22,Doug Booher Collection,,Leaf Litter,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.faisonensis,worker,64,Doug Booher Collection,,Leaf Litter,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.faisonensis,worker,268,Burchill,,Leaf Litter,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.faisonensis,worker,100,King,,Leaf Litter,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.fulva,worker,,pers comm j williams,millions?,,Omnivore,Nonnative,Monomorphic,"This forms super colonies, may need to remove from models"
Formicinae,Nylanderia,Nylanderia.parvula,worker,100,King,,Ground,Omnivore,Native,Monomorphic,
Formicinae,Nylanderia,Nylanderia.phantasma,worker,100,King,,Ground,Omnivore,Native,Monomorphic,Nocturnal
Formicinae,Nylanderia,Nylanderia.pubens,worker,200,pers comm j williams,100-300,Ground,Omnivore,Nonnative,Monomorphic,
