SPECIES,CASENT,HW,HL,ML,EL,WL
Crematogaster laeviuscula,CASENT0104828,1.229,1.097,0.491,0.23,1.423
Crematogaster laeviuscula,CASENT0217850,0.9,0.861,NA,NA,1.022
Crematogaster laeviuscula,CASENT0922730,0.899,0.837,0.411,0.207,1.074
Crematogaster laeviuscula,FMNHINS0000088664,0.901,0.836,0.435,0.204,0.973
Crematogaster lineolata,casent0104694,0.81,0.752,0.354,0.203,0.694
Crematogaster lineolata,casent0904536,NA,0.694,0.347,0.1785,0.861
Crematogaster lineolata,casent0912717,0.802,0.754,0.398,0.204,0.907
Crematogaster lineolata,casent0103781,0.794,0.819,0.1,0.189,0.895
Crematogaster minutissima,casent0103789,0.492,0.533,0.271,0.133,0.627
Crematogaster minutissima,casent0914573,0.466,0.514,0.229,NA,0.536
Crematogaster minutissima,jtlc000006537,0.522,0.537,0.268,0.143,0.633
Crematogaster minutissima,fmnhins0000047839,0.47,0.52,0.066,0.137,0.598
Crematogaster missouriensis,casent0103795,0.52,0.522,0.282,0.16,0.652
Crematogaster missouriensis,casent0172944,0.527,0.524,0.273,0.153,0.661
Crematogaster missouriensis,casent0648379,0.534,0.556,0.278,0.1595,0.662
Crematogaster missouriensis,casent0102833,0.4875,0.517,0.018,0.161,0.569
Crematogaster obscurata,casent0103800,0.465,0.465,0.229,0.1345,0.591
Crematogaster obscurata,fmnhins0000088665,0.571,0.567,0.258,0.1625,0.646
Crematogaster obscurata,inbiocri001280847,0.561,0.551,0.248,0.1485,0.668
Crematogaster obscurata,casent0914637,0.6205,0.638,0.078,0.176,0.7895
Crematogaster parapilosa,CASENT0863386,0.942,0.864,0.456,0.218,1.083
Crematogaster pilosa,casent0193165,0.814,0.787,0.407,NA,1.008
Crematogaster pilosa,casent0914530,0.899,0.807,0.404,0.2135,1.014
Crematogaster pilosa,casent0919707,0.736,0.67,0.342,0.1665,0.806
Crematogaster pilosa,casent0103806,0.9365,0.862,0.1015,0.218,0.9965
Crematogaster pinicola,casent0105680,0.856,0.78,NA,NA,0.94
Crematogaster pinicola,casent0914531,0.877,0.781,0.372,NA,0.995
Crematogaster pinicola,casent0172943,0.831,0.764,0.106,0.162,0.825
Crematogaster vermiculata,casent0103810,0.726,0.698,0.318,0.193,0.907
Crematogaster vermiculata,casent0914534,0.893,0.817,0.411,0.2075,0.878
Crematogaster vermiculata,casent0923320,0.633,0.599,0.282,NA,0.742
Crematogaster vermiculata,casent0005673,0.9515,0.919,0.451,0.254,1.1035
Cryptopone gilva,casent0003325,0.799,0.875,0.474,NA,1.235
Cryptopone gilva,casent0103829,0.742,0.796,0.428,NA,1.086
Cryptopone gilva,casent0915270,0.675,0.725,0.411,NA,1.081
Cryptopone gilva,fmnhins0000050343,0.839,0.881,0.488,NA,1.252
Cryptopone gilva,casent0260410,0.689,0.753,0.27,0.034,1.062
Cyphomyrmex minutus,casent0173957,0.535,0.504,0.194,0.129,0.719
Cyphomyrmex minutus,casent0909378,0.618,0.688,0.347,0.171,1.055
Cyphomyrmex minutus,fmnhins0000062861,0.644,0.624,0.254,0.151,0.915
Cyphomyrmex minutus,casent0103832,0.699,0.687,0.105,0.142,0.991
Cyphomyrmex rimosus,casent0103839,0.694,0.687,0.332,0.1805,1.114
Cyphomyrmex rimosus,casent0919614,0.568,0.535,0.188,0.129,0.823
Cyphomyrmex rimosus,fmnhins0000046091,0.709,0.742,0.323,NA,1.137
